ID,Name,Municipality_ID,CreatedOn,CreatedBy,LastUpdate,UpdateBy,Deleted
110,ARRIEN,175,2021-10-06 18:41:04,System - import,2021-10-06 18:41:04,System - import,0
111,ARUM,710,2021-10-06 18:41:04,System - import,2021-10-06 18:41:04,System - import,0
112,ASCH,214,2021-10-06 18:41:05,System - import,2021-10-06 18:41:05,System - import,0
113,ASPEREN,733,2021-10-06 18:41:05,System - import,2021-10-06 18:41:05,System - import,0
114,ASSEN,106,2021-10-06 18:41:06,System - import,2021-10-06 18:41:06,System - import,0
115,ASSENDELFT,479,2021-10-06 18:41:23,System - import,2021-10-06 18:41:23,System - import,0
116,ASTEN,743,2021-10-06 18:41:27,System - import,2021-10-06 18:41:27,System - import,0
117,AUGSBUURT,79,2021-10-06 18:41:31,System - import,2021-10-06 18:41:31,System - import,0
118,AUGUSTINUSGA,59,2021-10-06 18:41:31,System - import,2021-10-06 18:41:31,System - import,0
119,AUSTERLITZ,355,2021-10-06 18:41:31,System - import,2021-10-06 18:41:31,System - import,0
120,AVENHORN,558,2021-10-06 18:41:32,System - import,2021-10-06 18:41:32,System - import,0
121,AXEL,715,2021-10-06 18:41:33,System - import,2021-10-06 18:41:33,System - import,0
122,AZEWIJN,207,2021-10-06 18:41:36,System - import,2021-10-06 18:41:36,System - import,0
123,BAAIUM,140,2021-10-06 18:41:36,System - import,2021-10-06 18:41:36,System - import,0
124,BAAK,280,2021-10-06 18:41:36,System - import,2021-10-06 18:41:36,System - import,0
125,BAAMBRUGGE,305,2021-10-06 18:41:37,System - import,2021-10-06 18:41:37,System - import,0
126,BAARD,140,2021-10-06 18:41:37,System - import,2021-10-06 18:41:37,System - import,0
127,BAARLAND,654,2021-10-06 18:41:37,System - import,2021-10-06 18:41:37,System - import,0
128,BAARLE NASSAU,744,2021-10-06 18:41:38,System - import,2021-10-06 18:41:38,System - import,0
129,BAARLO LB,934,2021-10-06 18:41:40,System - import,2021-10-06 18:41:40,System - import,0
130,BAARLO OV,1708,2021-10-06 18:41:42,System - import,2021-10-06 18:41:42,System - import,0
131,BAARN,308,2021-10-06 18:41:42,System - import,2021-10-06 18:41:42,System - import,0
132,BAARS,1708,2021-10-06 18:41:50,System - import,2021-10-06 18:41:50,System - import,0
133,BABBERICH,299,2021-10-06 18:41:50,System - import,2021-10-06 18:41:50,System - import,0
134,BABYLONIENBROEK,738,2021-10-06 18:41:51,System - import,2021-10-06 18:41:51,System - import,0
135,BADHOEVEDORP,394,2021-10-06 18:41:51,System - import,2021-10-06 18:41:51,System - import,0
136,BAEXEM,920,2021-10-06 18:41:55,System - import,2021-10-06 18:41:55,System - import,0
