ID,Name,CreatedOn,CreatedBy,LastUpdate,UpdateBy,Deleted
448,TEXEL,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
450,UITGEEST,2021-10-06 18:29:57,System - import,2021-10-06 18:29:57,System - import,0
451,UITHOORN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
453,VELSEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
454,VENHUIZEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
457,WEESP,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
458,SCHERMER,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
459,WERVERSHOOF,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
462,WIERINGEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
463,WIERINGERMEER,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
466,WOGNUM,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
473,ZANDVOORT,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
476,ZIJPE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
478,ZEEVANG,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
479,ZAANSTAD,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
480,TER AAR,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
482,ALBLASSERDAM,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
483,ALKEMADE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
484,ALPHEN AAN DEN RIJN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
489,BARENDRECHT,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
491,BERGAMBACHT,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
492,BERGSCHENHOEK,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
493,BERKEL EN RODENRIJS,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
495,BLEISWIJK,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
497,BODEGRAVEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
498,DRECHTERLAND,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
499,BOSKOOP,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
501,BRIELLE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
502,CAPELLE AAN DEN IJSSEL,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
503,DELFT,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
504,DIRKSLAND,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
505,DORDRECHT,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
511,GOEDEREEDE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
512,GORINCHEM,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
513,GOUDA,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
517,S GRAVENDEEL,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
518,S GRAVENHAGE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
519,S GRAVENZANDE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
523,HARDINXVELD-GIESSENDAM,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
529,NOORDER-KOGGENLAND,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
530,HELLEVOETSLUIS,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
531,HENDRIK-IDO-AMBACHT,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
532,STEDE BROEC,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
534,HILLEGOM,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
537,KATWIJK,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
542,KRIMPEN AAN DEN IJSSEL,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
545,LEERDAM,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
546,LEIDEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
547,LEIDERDORP,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
552,DE LIER,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
553,LISSE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
555,MAASLAND,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
556,MAASSLUIS,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
558,WESTER-KOGGENLAND,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
559,MIDDELHARNIS,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
562,MONSTER,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
563,MOORDRECHT,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
565,NAALDWIJK,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
567,NIEUWERKERK AD IJSSEL,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
568,BERNISSE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
569,NIEUWKOOP,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
571,NIEUW-LEKKERLAND,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
575,NOORDWIJK,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
576,NOORDWIJKERHOUT,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
579,OEGSTGEEST,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
580,OOSTFLAKKEE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
584,OUD-BEIJERLAND,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
585,BINNENMAAS,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
588,KORENDIJK,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
589,OUDEWATER,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
590,PAPENDRECHT,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
595,REEUWIJK,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
597,RIDDERKERK,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
599,ROTTERDAM,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
600,ROZENBURG,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
602,RIJNSBURG,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
603,RIJSWIJK,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
604,SASSENHEIM,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
606,SCHIEDAM,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
607,SCHIPLUIDEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
608,SCHOONHOVEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
610,SLIEDRECHT,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
611,CROMSTRIJEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
612,SPIJKENISSE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
613,ALBRANDSWAARD,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
614,WESTVOORNE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
617,STRIJEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
619,VALKENBURG ZH,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
620,VIANEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
622,VLAARDINGEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
623,VLIST,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
625,VOORHOUT,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
626,VOORSCHOTEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
627,WADDINXVEEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
628,WARMOND,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
629,WASSENAAR,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
630,WATERINGEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
632,WOERDEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
637,ZOETERMEER,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
638,ZOETERWOUDE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
642,ZWIJNDRECHT,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
643,NEDERLEK,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
644,OUDERKERK,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
645,JACOBSWOUDE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
653,GAASTERLN-SLEAT,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
654,BORSELE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
664,GOES,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
668,WEST MAAS EN WAAL,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
677,HULST,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
678,KAPELLE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
683,WYMBRITSERADIEL,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
687,MIDDELBURG,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
689,GIESSENLANDEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
693,GRAAFSTROOM,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
694,LIESVELD,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
703,REIMERSWAAL,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
707,ZEDERIK,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
710,WNSERADIEL,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
715,TERNEUZEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
716,THOLEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
717,VEERE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
718,VLISSINGEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
733,LINGEWAAL,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
736,DE RONDE VENEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
737,TYTSJERKSTERADIEL,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
738,AALBURG,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
743,ASTEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
744,BAARLE-NASSAU,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
748,BERGEN OP ZOOM,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
753,BEST,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
755,BOEKEL,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
756,BOXMEER,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
757,BOXTEL,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
758,BREDA,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
762,DEURNE,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
765,PEKELA,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
766,DONGEN,2021-10-06 18:29:58,System - import,2021-10-06 18:29:58,System - import,0
